['Starting Time', datetime.datetime(2024, 8, 5, 11, 14, 36, 766284), 'Duration (s)', 2.946304]
['No calibration pictures taken']
['Read Cam Calib Time', datetime.datetime(2024, 8, 5, 11, 14, 39, 712588), 'Duration (s)', 0.0]
['Read Stereo Calib Time', datetime.datetime(2024, 8, 5, 11, 14, 39, 712588), 'Duration (s)', 0.0]
['Aruco Ref Calculation Time', datetime.datetime(2024, 8, 5, 11, 14, 39, 712588), 'Duration (s)', 0.046866]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 114168), 'Duration (s)', 0.009923]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 124091), 'Duration (s)', 0.181163]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 346295), 'Duration (s)', 0.010982]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 357277), 'Duration (s)', 0.04793]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 412624), 'Duration (s)', 0.009975]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 422599), 'Duration (s)', 0.051823]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 482923), 'Duration (s)', 0.010006]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 492929), 'Duration (s)', 0.051827]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 557781), 'Duration (s)', 0.056318]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 614099), 'Duration (s)', 0.051563]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 673477), 'Duration (s)', 0.021116]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 694593), 'Duration (s)', 0.050039]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 753773), 'Duration (s)', 0.03387]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 787643), 'Duration (s)', 0.050486]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 846291), 'Duration (s)', 0.04051]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 886801), 'Duration (s)', 0.054938]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 947377), 'Duration (s)', 0.048278]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 46, 995655), 'Duration (s)', 0.052414]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 55054), 'Duration (s)', 0.0401]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 95154), 'Duration (s)', 0.053674]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 155888), 'Duration (s)', 0.035724]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 191612), 'Duration (s)', 0.050685]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 249465), 'Duration (s)', 0.050536]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 300001), 'Duration (s)', 0.05216]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 359289), 'Duration (s)', 0.038634]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 397923), 'Duration (s)', 0.05049]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 454434), 'Duration (s)', 0.038568]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 493002), 'Duration (s)', 0.050276]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 550275), 'Duration (s)', 0.047621]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 597896), 'Duration (s)', 0.056569]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 661475), 'Duration (s)', 0.023775]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 685250), 'Duration (s)', 0.053256]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 751984), 'Duration (s)', 0.046267]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 798251), 'Duration (s)', 0.064463]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 870909), 'Duration (s)', 0.021237]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 892146), 'Duration (s)', 0.054955]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 952090), 'Duration (s)', 0.037025]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 47, 989115), 'Duration (s)', 0.048507]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 45160), 'Duration (s)', 0.040835]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 85995), 'Duration (s)', 0.050535]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 142700), 'Duration (s)', 0.060737]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 203437), 'Duration (s)', 0.052614]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 265996), 'Duration (s)', 0.032432]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 298428), 'Duration (s)', 0.052455]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 358920), 'Duration (s)', 0.029713]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 388633), 'Duration (s)', 0.054549]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 449237), 'Duration (s)', 0.044893]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 494130), 'Duration (s)', 0.059725]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 560998), 'Duration (s)', 0.036495]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 597493), 'Duration (s)', 0.054888]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 659614), 'Duration (s)', 0.03487]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 694484), 'Duration (s)', 0.048534]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 751996), 'Duration (s)', 0.03692]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 788916), 'Duration (s)', 0.053823]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 849760), 'Duration (s)', 0.03477]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 884530), 'Duration (s)', 0.04963]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 48, 941141), 'Duration (s)', 0.062615]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 49, 3756), 'Duration (s)', 0.046921]
['Search Time', datetime.datetime(2024, 8, 5, 11, 14, 49, 57659), 'Duration (s)', 0.043967]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 14, 49, 101626), 'Duration (s)', 0.051872]
