ID;CenterL_X;CenterL_Y;CenterR_X;CenterR_Y;Xrobot;Xcalculated;XIA;DeltaX;DeltaXIA;Yrobot;Ycalculated;YIA;DeltaY;DeltaYIA;Zrobot;Zcalculated;ZIA;DeltaZ;DeltaZIA;Urobot;Ucalculated;UIA;DeltaU;DeltaUIA
160;787;482;621;494;301,367;263,2521648344032;302,25073;38,114835165596844;-0,8837324218749814;29,3994;54,67543419865898;29,393225;-25,276034198658976;0,00617528381347654;-216,146;-252,56505934888875;-180,00632;36,419059348888766;-0,13968286132811158;51,405;0;49,591938;51,405;1,813061981201173
219;842;470;648;482;386,505;358,015879979807;384,87305;28,489120020193013;1,6319531249999955;52,5806;73,99582693867445;52,89309;-21,415226938674458;-0,31248929443359685;-204,717;-232,85596911334534;-168,7652;28,138969113345325;0,04819775390623704;-33,2593;0;-32,95547;-33,2593;-0,3038289611816438
55;760;288;560;309;395,557;371,1347809032708;394,84262;24,422219096729236;0,7143791503906414;7,35535;19,575290385436716;7,1730943;-12,219940385436717;0,18225572738647422;-99,9093;-117,20005869598333;-63,727203;17,290758695983328;-0,18209663085937677;-54,3311;-53,43293524650411;-54,27564;-0,898164753495891;-0,05546141967773366
135;613;405;436;424;350,848;320,6346413552599;350,93976;30,21335864474014;-0,09175830078123681;-74,3774;-73,39283168191237;-74,339485;-0,984568318087625;-0,03791483154296316;-167,448;-192,58168528990555;-131,34787;25,133685289905543;-0,1001301269531325;22,1411;26,70875911243892;22,424864;-4,567659112438918;-0,28376381530761563
12;666;435;475;453;390,088;364,11820816805766;390,4251;25,96979183194236;-0,3371098632812277;-46,4502;-39,13018709595123;-46,49067;-7,320012904048774;0,040469250488278874;-185,991;-209,91100767445363;-150,05038;23,920007674453615;0,05938452148436113;-13,2788;0;-13,419451;-13,2788;0,14065075988769493
92;679;302;481;324;400,012;374,75569495320224;399,06396;25,256305046797763;0,9480351562500005;-37,9413;-31,456631597604016;-37,932865;-6,484668402395982;-0,008434857177732624;-108,8174;-126,01338317600431;-72,75843;17,195983176004304;-0,058969519042975094;37,5366;42,685063065374706;37,6341;-5,148463065374706;-0,09750186767578128
191;843;464;631;476;434,393;409,7983163305712;434,52393;24,594683669428775;-0,13092578125002774;46,1371;62,880178282782154;45,9269;-16,743078282782157;0,21020104370116854;-199,594;-223,13817255261975;-163,43176;23,544172552619756;-0,1622373046874941;-12,4878;0;-12,317084;-12,4878;-0,17071568756103517
17;844;304;632;322;430,597;398,211251531008;429,8277;32,385748468992006;0,76930224609373;50,7568;66,11463727207605;50,50805;-15,357837272076054;0,2487509887695296;-111,4108;-128,6766821095947;-75,18586;17,265882109594713;-0,22494031982421347;5,49683;9,503200377464474;5,9505863;-4,006370377464473;-0,45375631896972646
269;727;469;531;485;399,536;375,9580519007824;399,2721;23,577948099217622;0,26390527343750136;-8,4375;-1,6500220317162544;-7,921964;-6,787477968283746;-0,515535831451416;-204,931;-230,33944473903534;-169,23325;25,408444739035332;0,3022458496093634;15,6738;0;15,375005;15,6738;0,2987952316284179
216;886;375;674;388;423,993;399,05947342025524;423,677;24,93352657974475;0,315998046874995;68,6096;91,0482374484612;69,07757;-22,438637448461193;-0,4679680541992184;-150,08499999999998;-170,83419664878974;-114,055885;20,749196648789763;-0,029114685058587497;-30,4761;-30,364242122889216;-30,649221;-0,11185787711078277;0,17312142028808708
