['Starting Time', datetime.datetime(2024, 8, 5, 10, 48, 4, 948693), 'Duration (s)', 2.195234]
['No calibration pictures taken']
['Read Cam Calib Time', datetime.datetime(2024, 8, 5, 10, 48, 7, 143927), 'Duration (s)', 0.0]
['Read Stereo Calib Time', datetime.datetime(2024, 8, 5, 10, 48, 7, 143927), 'Duration (s)', 0.0]
['Aruco Ref Calculation Time', datetime.datetime(2024, 8, 5, 10, 48, 7, 143927), 'Duration (s)', 0.031636]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 21, 348018), 'Duration (s)', 0.0]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 21, 348018), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 21, 394881), 'Duration (s)', 0.015628]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 21, 410509), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 21, 426125), 'Duration (s)', 0.078108]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 21, 504233), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 21, 519854), 'Duration (s)', 0.078106]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 21, 597960), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 21, 613604), 'Duration (s)', 0.09421]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 21, 707814), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 21, 723516), 'Duration (s)', 0.078099]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 21, 801615), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 21, 817198), 'Duration (s)', 0.078153]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 21, 895351), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 21, 910975), 'Duration (s)', 0.078216]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 21, 989191), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 4830), 'Duration (s)', 0.109208]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 114038), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 129625), 'Duration (s)', 0.093735]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 223360), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 239010), 'Duration (s)', 0.062452]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 301462), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 317114), 'Duration (s)', 0.078075]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 395189), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 410812), 'Duration (s)', 0.109347]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 520159), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 535816), 'Duration (s)', 0.062489]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 598305), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 614061), 'Duration (s)', 0.078051]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 692112), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 723661), 'Duration (s)', 0.093729]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 817390), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 817390), 'Duration (s)', 0.093728]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 911118), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 22, 926912), 'Duration (s)', 0.077933]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 23, 4845), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 23, 20624), 'Duration (s)', 0.077949]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 23, 98573), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 23, 114357), 'Duration (s)', 0.077981]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 23, 192338), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 23, 223545), 'Duration (s)', 0.093735]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 50, 23, 317280), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 50, 23, 333017), 'Duration (s)', 0.077991]
