['Starting Time', datetime.datetime(2024, 8, 5, 10, 30, 19, 950417), 'Duration (s)', 2.166281]
['No calibration pictures taken']
['Read Cam Calib Time', datetime.datetime(2024, 8, 5, 10, 30, 22, 116698), 'Duration (s)', 0.0]
['Read Stereo Calib Time', datetime.datetime(2024, 8, 5, 10, 30, 22, 116698), 'Duration (s)', 0.0]
['Aruco Ref Calculation Time', datetime.datetime(2024, 8, 5, 10, 30, 22, 116698), 'Duration (s)', 1.24514]
['Search Time', datetime.datetime(2024, 8, 5, 10, 30, 27, 713377), 'Duration (s)', 0.058754]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 30, 27, 772131), 'Duration (s)', 0.30641]
['Search Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 196831), 'Duration (s)', 0.010969]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 207800), 'Duration (s)', 0.001036]
['Search Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 214828), 'Duration (s)', 0.076725]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 291553), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 299544), 'Duration (s)', 0.097941]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 397485), 'Duration (s)', 0.000993]
['Search Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 405563), 'Duration (s)', 0.095945]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 501508), 'Duration (s)', 0.000997]
['Search Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 510873), 'Duration (s)', 0.08364]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 594513), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 600418), 'Duration (s)', 0.090992]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 691410), 'Duration (s)', 0.001031]
['Search Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 700388), 'Duration (s)', 0.087976]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 788364), 'Duration (s)', 0.000998]
['Search Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 795394), 'Duration (s)', 0.111966]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 907360), 'Duration (s)', 0.00103]
['Search Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 914965), 'Duration (s)', 0.079454]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 30, 28, 994419), 'Duration (s)', 0.001033]
['Search Time', datetime.datetime(2024, 8, 5, 10, 30, 29, 1622), 'Duration (s)', 0.088012]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 30, 29, 89634), 'Duration (s)', 0.000996]
