['Starting Time', datetime.datetime(2024, 8, 5, 11, 4, 10, 938023), 'Duration (s)', 2.222372]
['No calibration pictures taken']
['Read Cam Calib Time', datetime.datetime(2024, 8, 5, 11, 4, 13, 160395), 'Duration (s)', 0.001044]
['Read Stereo Calib Time', datetime.datetime(2024, 8, 5, 11, 4, 13, 161439), 'Duration (s)', 0.0]
['Aruco Ref Calculation Time', datetime.datetime(2024, 8, 5, 11, 4, 13, 161439), 'Duration (s)', 0.03539]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 15, 963967), 'Duration (s)', 0.010011]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 15, 973978), 'Duration (s)', 0.000998]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 14803), 'Duration (s)', 0.012965]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 27768), 'Duration (s)', 0.001031]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 35813), 'Duration (s)', 0.106888]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 142701), 'Duration (s)', 0.000997]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 151793), 'Duration (s)', 0.076847]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 228640), 'Duration (s)', 0.00103]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 236778), 'Duration (s)', 0.080944]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 317722), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 323904), 'Duration (s)', 0.103064]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 426968), 'Duration (s)', 0.000998]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 437983), 'Duration (s)', 0.088736]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 526719), 'Duration (s)', 0.001033]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 534698), 'Duration (s)', 0.087777]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 622475), 'Duration (s)', 0.000998]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 628891), 'Duration (s)', 0.088837]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 717728), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 725932), 'Duration (s)', 0.087373]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 813305), 'Duration (s)', 0.001033]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 819930), 'Duration (s)', 0.109643]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 929573), 'Duration (s)', 0.000998]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 16, 937290), 'Duration (s)', 0.087939]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 25229), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 32081), 'Duration (s)', 0.086893]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 118974), 'Duration (s)', 0.000999]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 127403), 'Duration (s)', 0.090109]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 217512), 'Duration (s)', 0.001034]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 226630), 'Duration (s)', 0.100929]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 327559), 'Duration (s)', 0.000997]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 335583), 'Duration (s)', 0.096105]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 431688), 'Duration (s)', 0.000996]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 441578), 'Duration (s)', 0.077137]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 518715), 'Duration (s)', 0.001032]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 525733), 'Duration (s)', 0.087967]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 613700), 'Duration (s)', 0.001031]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 619906), 'Duration (s)', 0.128256]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 748162), 'Duration (s)', 0.001033]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 757138), 'Duration (s)', 0.064735]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 821873), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 827941), 'Duration (s)', 0.099285]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 927226), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 17, 934370), 'Duration (s)', 0.081381]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 18, 15751), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 18, 29715), 'Duration (s)', 0.099075]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 18, 128790), 'Duration (s)', 0.001031]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 18, 137946), 'Duration (s)', 0.083809]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 18, 221755), 'Duration (s)', 0.001033]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 18, 231276), 'Duration (s)', 0.088848]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 18, 320124), 'Duration (s)', 0.001032]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 18, 327207), 'Duration (s)', 0.089011]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 18, 416218), 'Duration (s)', 0.001032]
['Search Time', datetime.datetime(2024, 8, 5, 11, 4, 18, 424643), 'Duration (s)', 0.105015]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 4, 18, 529658), 'Duration (s)', 0.001033]
