['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 42, 617784), 'Duration (s)', 0.038998]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 42, 656782), 'Duration (s)', 0.049395]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 42, 712169), 'Duration (s)', 0.044361]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 42, 756530), 'Duration (s)', 0.056357]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 42, 819868), 'Duration (s)', 0.045861]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 42, 865729), 'Duration (s)', 0.04857]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 42, 927322), 'Duration (s)', 0.037632]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 42, 964954), 'Duration (s)', 0.052368]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 43, 24303), 'Duration (s)', 0.042587]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 43, 66890), 'Duration (s)', 0.049109]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 1, 814990), 'Duration (s)', 0.008933]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 1, 823923), 'Duration (s)', 0.052409]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 1, 882056), 'Duration (s)', 0.008975]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 1, 891031), 'Duration (s)', 0.056704]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 1, 952711), 'Duration (s)', 0.012932]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 1, 965643), 'Duration (s)', 0.051395]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 24057), 'Duration (s)', 0.050972]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 75029), 'Duration (s)', 0.050814]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 131865), 'Duration (s)', 0.027362]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 159227), 'Duration (s)', 0.052]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 216250), 'Duration (s)', 0.058518]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 274768), 'Duration (s)', 0.0706]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 355338), 'Duration (s)', 0.009973]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 365311), 'Duration (s)', 0.051795]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 425086), 'Duration (s)', 0.04985]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 474936), 'Duration (s)', 0.0515]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 533883), 'Duration (s)', 0.025287]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 559170), 'Duration (s)', 0.057096]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 623629), 'Duration (s)', 0.047269]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 670898), 'Duration (s)', 0.051773]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 728838), 'Duration (s)', 0.025515]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 754353), 'Duration (s)', 0.051863]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 814193), 'Duration (s)', 0.051531]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 865724), 'Duration (s)', 0.049705]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 921416), 'Duration (s)', 0.048911]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 2, 970327), 'Duration (s)', 0.050817]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 27129), 'Duration (s)', 0.033325]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 60454), 'Duration (s)', 0.052455]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 119423), 'Duration (s)', 0.033612]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 153035), 'Duration (s)', 0.049894]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 209206), 'Duration (s)', 0.053435]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 262641), 'Duration (s)', 0.050976]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 326660), 'Duration (s)', 0.036394]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 363054), 'Duration (s)', 0.0529]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 422126), 'Duration (s)', 0.032951]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 455077), 'Duration (s)', 0.052582]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 513691), 'Duration (s)', 0.046536]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 560227), 'Duration (s)', 0.063339]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 628555), 'Duration (s)', 0.033518]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 662073), 'Duration (s)', 0.051177]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 721251), 'Duration (s)', 0.039284]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 760535), 'Duration (s)', 0.049246]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 816794), 'Duration (s)', 0.039775]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 856569), 'Duration (s)', 0.050319]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 913076), 'Duration (s)', 0.038871]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 3, 951947), 'Duration (s)', 0.049866]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 7831), 'Duration (s)', 0.058269]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 66100), 'Duration (s)', 0.048253]
