['Starting Time', datetime.datetime(2024, 8, 5, 11, 8, 55, 850382), 'Duration (s)', 2.101931]
['No calibration pictures taken']
['Read Cam Calib Time', datetime.datetime(2024, 8, 5, 11, 8, 57, 952313), 'Duration (s)', 0.0]
['Read Stereo Calib Time', datetime.datetime(2024, 8, 5, 11, 8, 57, 953311), 'Duration (s)', 0.0]
['Aruco Ref Calculation Time', datetime.datetime(2024, 8, 5, 11, 8, 57, 953311), 'Duration (s)', 0.030919]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 158168), 'Duration (s)', 0.010974]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 169142), 'Duration (s)', 0.000997]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 215801), 'Duration (s)', 0.013964]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 229765), 'Duration (s)', 0.000996]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 237951), 'Duration (s)', 0.078485]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 316436), 'Duration (s)', 0.001034]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 323635), 'Duration (s)', 0.093213]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 416848), 'Duration (s)', 0.00099]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 424894), 'Duration (s)', 0.089122]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 514016), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 519186), 'Duration (s)', 0.098648]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 617834), 'Duration (s)', 0.000994]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 627038), 'Duration (s)', 0.11181]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 738848), 'Duration (s)', 0.000998]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 747861), 'Duration (s)', 0.065137]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 812998), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 819711), 'Duration (s)', 0.113886]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 933597), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 11, 941737), 'Duration (s)', 0.086084]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 27821), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 35800), 'Duration (s)', 0.083012]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 119843), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 125827), 'Duration (s)', 0.090135]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 215962), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 222904), 'Duration (s)', 0.101943]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 324847), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 334998), 'Duration (s)', 0.073898]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 408896), 'Duration (s)', 0.00103]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 417831), 'Duration (s)', 0.099555]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 517386), 'Duration (s)', 0.000998]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 523606), 'Duration (s)', 0.090261]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 613867), 'Duration (s)', 0.001031]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 623064), 'Duration (s)', 0.107756]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 730820), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 739550), 'Duration (s)', 0.074927]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 814477), 'Duration (s)', 0.000964]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 821469), 'Duration (s)', 0.096034]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 918535), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 12, 924651), 'Duration (s)', 0.08867]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 13, 13321), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 13, 20303), 'Duration (s)', 0.096637]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 13, 116940), 'Duration (s)', 0.001029]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 13, 127174), 'Duration (s)', 0.082756]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 13, 209930), 'Duration (s)', 0.000997]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 13, 217131), 'Duration (s)', 0.105652]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 13, 322783), 'Duration (s)', 0.00103]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 13, 330061), 'Duration (s)', 0.08387]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 13, 413931), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 13, 421762), 'Duration (s)', 0.098918]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 13, 520680), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 13, 525783), 'Duration (s)', 0.095029]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 13, 620812), 'Duration (s)', 0.001011]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 13, 629874), 'Duration (s)', 0.088302]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 9, 13, 718176), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 11, 9, 13, 725356), 'Duration (s)', 0.093505]
