ID;CenterL_X;CenterL_Y;CenterR_X;CenterR_Y;Xrobot;Xcalculated;XIA;DeltaX;DeltaXIA;Yrobot;Ycalculated;YIA;DeltaY;DeltaYIA;Zrobot;Zcalculated;ZIA;DeltaZ;DeltaZIA;Urobot;Ucalculated;UIA;DeltaU;DeltaUIA
39;701;436;500;453;407,373;359,4208771987844;409,20813;47,95212280121558;-1,8351298828125095;-24,8346;-29,646324751901112;-25,309095;4,811724751901114;0,47449538269043146;-186,004;-240,9121607197701;-149,93571;54,90816071977011;-0,06828527832030318;37,8076;43,51196323229699;38,14143;-5,704363232296991;-0,3338299011230461
213;786;306;557;325;458,6;415,83450140915454;458,24493;42,76549859084548;0,35506591796877274;11,8597;12,527818819676199;10,385156;-0,6681188196761987;1,47454432220459;-118,3279;-164,92352420965074;-82,76625;46,59562420965074;0,43835061035156286;-54,635;-54,14398778496676;-53,404;-0,491012215033237;-1,2310006713867168
74;867;407;660;420;416,882;358,2240726543213;416,8069;58,65792734567873;0,075115234375005;66,687;71,4410711289113;66,3023;-4,754071128911306;0,38470050048827886;-167,987;-223,23967105561843;-133,67038;55,252671055618436;1,6833796386718802;17,3621;23,47378988893044;19,225868;-6,111689888930439;-1,8637682250976546
373;798;516;614;528;363,672;302,7385668326823;364,05295;60,93343316731773;-0,38094799804684953;31,6516;39,43687853522337;31,929663;-7,785278535223373;-0,27806270446777503;-233,915;-299,00566355498285;-198,88528;65,09066355498285;0,970284423828133;-21,4307;-16,500634069531543;-22,648102;-4,930065930468459;1,2174018066406234
199;768;389;555;406;436,987;383,00666131848527;436,93027;53,98033868151475;0,05673266601564819;6,38855;7,532703425888414;5,2124605;-1,1441534258884136;1,1760894821166996;-159,561;-211,66047075428966;-123,38765;52,099470754289655;-0,17335046386719455;-8,03833;0;-6,9551926;-8,03833;-1,0831374340820314
245;608;327;444;349;311,2;232,70961267560347;312,98288;78,49038732439652;-1,7828796386718864;-80,7221;-88,5650249042324;-80,41315;7,8429249042324045;-0,3089530273437475;-113,9315;-170,33762271584126;-78,956665;56,40612271584126;1,0251650390625002;5,75684;10,8371446208872;8,328422;-5,080304620887199;-2,571581592712402
66;831;507;613;519;447,15;398,00897047462945;444,16794;49,14102952537053;2,9820617675781023;42,5281;41,00129961445057;41,491356;1,5268003855494285;1,0367441040039083;-221,854;-278,1778567633785;-185,20627;56,32385676337847;-0,6477316894531384;17,4536;0;18,459812;17,4536;-1,006212164306639
250;725;484;487;499;487,781;449,21155992518345;487,42072;38,569440074816555;0,3602846679687559;-13,8702;-24,35040400603836;-13,646741;10,48020400603836;-0,22345908660888725;-208,097;-258,11566734705127;-170,23251;50,01866734705126;-1,8644865722656334;28,2129;0;29,142408;28,2129;-0,9295083709716785
7;870;299;685;315;353,247;276,14078803636437;348,5881;77,10621196363564;4,658895751953139;79,9475;94,2338937049408;80,94763;-14,286393704940792;-1,0001318359374949;-97,7304;-152,21369537152611;-61,806896;54,48329537152611;0,07649620971679383;27,6379;33,47954322299992;27,887537;-5,841643222999924;-0,2496370025634782
253;577;369;352;392;468,64;425,8875432336058;466,06427;42,752456766394175;2,5757299804687364;-87,5555;-101,47705317193382;-89,9252;13,921553171933823;2,36970141601563;-152,939;-199,5061303954266;-115,48518;46,5671303954266;-1,4538162841796805;39,2578;45,48115639251818;39,451675;-6,223356392518177;-0,19387541503905936
278;924;305;693;320;463,849;408,1696691087976;462,14844;55,67933089120237;1,7005624999999895;78,1293;90,5374495856821;78,422226;-12,408149585682096;-0,29292595214843686;-115,8669;-163,83341117882992;-80,28348;47,96651117882992;0,4165777832031239;-31,5271;-29,487408948232;-31,382664;-2,039691051767999;-0,14443627319336017
129;688;493;459;509;472,15;433,18751950611835;470,46066;38,96248049388163;1,6893371582031023;-40,5835;-42,29736542113244;-39,870697;1,7138654211324393;-0,7128029785156258;-213,805;-265,08178503397784;-177,81706;51,27678503397783;0,012062377929680679;-33,6292;0;-33,097042;-33,6292;-0,5321579162597629
149;667;405;478;423;381,628;324,2611004474081;381,3071;57,36689955259186;0,3209016113281109;-42,3468;-48,79268837817663;-42,935734;6,445888378176626;0,5889337951660139;-167,952;-223,56758586298713;-130,38954;55,61558586298713;-1,5624583740234357;30,824;37,89485567955343;32,87673;-7,0708556795534285;-2,052731872558592
161;608;487;396;505;440,985;399,1012461291682;439,8591;41,88375387083181;1,1258996582031386;-79,2554;-85,33959624825201;-77,90561;6,084196248252013;-1,3497908691406195;-213,245;-266,44254240356906;-176,9641;53,19754240356906;-0,28090393066406705;-36,9653;0;-37,26949;-36,9653;0,30418928833007897
284;806;312;625;329;338,995;271,5404364568773;337,9962;67,45456354312273;0,9988146972656295;39,9408;50,65347030001905;40,162434;-10,712670300019049;-0,22163362426757516;-105,3738;-160,96513722616075;-69,63568;55,591337226160746;0,2618811523437472;-42,4695;-42,95789590926076;-43,17886;0,4883959092607668;0,7093597106933629
311;818;369;621;384;388,983;330,453591607921;391,1563;58,529408392079006;-2,173311035156246;41,0175;47,210153566705785;40,976616;-6,192653566705786;0,040884094238279545;-145,578;-200,25705673153823;-110,21278;54,679056731538225;0,6347838134765595;38,551;44,54265199102053;38,166077;-5,991651991020525;0,38492333984375193
321;825;374;621;389;401,764;351,36798418405874;401,99756;50,39601581594127;-0,23355859374999;36,9415;47,31786558419026;38,231667;-10,37636558419026;-1,2901665649414085;-149,64100000000002;-203,1930642666206;-114,270645;53,55206426662059;0,6296451416015572;56,2427;61,038239085298436;56,287422;-4,7955390852984365;-0,044722180175782
106;684;280;446;303;493,054;442,30925415581294;492,37283;50,74474584418704;0,6811667480468486;-39,4189;-44,96007133200004;-40,772354;5,54117133200004;1,3534541259765618;-108,9413;-152,90967166586125;-71,49257;43,968371665861255;-1,4487310302734357;-2,18994;0,8464031153507353;0,43153518;-3,036343115350735;-2,6214751843833923
234;787;379;572;395;439,185;385,81381985719645;438,22147;53,37118014280355;0,9635339355468773;20,4565;18,127591302357942;19,545057;2,3289086976420563;0,9114427032470687;-154,007;-205,52877797877665;-118,48776;51,52177797877664;0,48076245117187;20,3247;25,143415314357007;21,42887;-4,818715314357007;-1,1041692474365234
45;699;504;468;520;477,319;437,3263705528364;475,74738;39,99262944716361;1,5716245117187668;-26,0101;-36,78648782839166;-26,632711;10,776387828391655;0,6226114105224596;-219,218;-270,43497720561555;-182,85236;51,216977205615564;-0,3656440429687393;22,1008;0;22,205782;22,1008;-0,10498193664550826
141;830;317;658;333;309,155;232,3373232818334;312,72412;76,81767671816658;-3,5691210937500273;54,668;75,8041203766348;53,57039;-21,1361203766348;1,0976112060546868;-105,0234;-162,72426841920426;-71,77487;57,70086841920427;2,75147182617188;53,2361;59,24583210732896;52,515553;-6,009732107328958;0,7205474792480473
299;794;478;613;491;354,828;289,20410401422373;351,6396;65,62389598577624;3,1884125976562245;30,2234;39,15001264885217;31,268345;-8,926612648852167;-1,044944879150389;-211,459;-275,3052850508134;-175,8547;63,84628505081338;0,3957058105468718;-25,708;0;-25,13655;-25,708;-0,5714490966796859
