['Starting Time', datetime.datetime(2024, 8, 5, 10, 9, 33, 470889), 'Duration (s)', 2.352798]
['No calibration pictures taken']
['Read Cam Calib Time', datetime.datetime(2024, 8, 5, 10, 9, 35, 823687), 'Duration (s)', 0.0]
['Read Stereo Calib Time', datetime.datetime(2024, 8, 5, 10, 9, 35, 823687), 'Duration (s)', 0.0]
['Aruco Ref Calculation Time', datetime.datetime(2024, 8, 5, 10, 9, 35, 823687), 'Duration (s)', 0.015621]
['Search Time', datetime.datetime(2024, 8, 5, 10, 9, 48, 79681), 'Duration (s)', 0.358337]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 9, 48, 438018), 'Duration (s)', 0.500539]
['Search Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 178452), 'Duration (s)', 0.012965]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 191417), 'Duration (s)', 0.000999]
['Search Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 202596), 'Duration (s)', 0.08547]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 288066), 'Duration (s)', 0.001032]
['Search Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 296047), 'Duration (s)', 0.086138]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 382185), 'Duration (s)', 0.000998]
['Search Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 390166), 'Duration (s)', 0.10828]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 498446), 'Duration (s)', 0.000997]
['Search Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 508423), 'Duration (s)', 0.08477]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 593193), 'Duration (s)', 0.001033]
['Search Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 601171), 'Duration (s)', 0.087152]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 688323), 'Duration (s)', 0.001032]
['Search Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 699295), 'Duration (s)', 0.084808]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 784103), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 791085), 'Duration (s)', 0.104744]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 895829), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 903845), 'Duration (s)', 0.089832]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 9, 49, 993677), 'Duration (s)', 0.000997]
['Search Time', datetime.datetime(2024, 8, 5, 10, 9, 50, 3366), 'Duration (s)', 0.083585]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 9, 50, 86951), 'Duration (s)', 0.000997]
['Search Time', datetime.datetime(2024, 8, 5, 10, 9, 50, 97094), 'Duration (s)', 0.090277]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 9, 50, 187371), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 9, 50, 196348), 'Duration (s)', 0.097608]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 9, 50, 293956), 'Duration (s)', 0.000998]
['Search Time', datetime.datetime(2024, 8, 5, 10, 9, 50, 305929), 'Duration (s)', 0.086762]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 9, 50, 392691), 'Duration (s)', 0.000999]
['Search Time', datetime.datetime(2024, 8, 5, 10, 9, 50, 399706), 'Duration (s)', 0.087769]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 9, 50, 487475), 'Duration (s)', 0.001003]
