['Starting Time', datetime.datetime(2024, 8, 5, 10, 12, 33, 438093), 'Duration (s)', 3.956816]
['No calibration pictures taken']
['Read Cam Calib Time', datetime.datetime(2024, 8, 5, 10, 12, 37, 394909), 'Duration (s)', 0.031742]
['Read Stereo Calib Time', datetime.datetime(2024, 8, 5, 10, 12, 37, 426651), 'Duration (s)', 0.0]
['Aruco Ref Calculation Time', datetime.datetime(2024, 8, 5, 10, 12, 37, 426651), 'Duration (s)', 2.609324]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 50, 243935), 'Duration (s)', 0.198143]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 50, 442078), 'Duration (s)', 0.528069]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 190642), 'Duration (s)', 0.013965]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 204607), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 215700), 'Duration (s)', 0.056678]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 272378), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 285312), 'Duration (s)', 0.092396]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 377708), 'Duration (s)', 0.000997]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 386688), 'Duration (s)', 0.093623]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 480311), 'Duration (s)', 0.001031]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 490289), 'Duration (s)', 0.083339]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 573628), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 585565), 'Duration (s)', 0.082774]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 668339), 'Duration (s)', 0.001032]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 680309), 'Duration (s)', 0.103724]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 784033), 'Duration (s)', 0.000996]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 793008), 'Duration (s)', 0.08577]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 878778), 'Duration (s)', 0.000999]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 888755), 'Duration (s)', 0.090814]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 979569), 'Duration (s)', 0.000996]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 51, 992536), 'Duration (s)', 0.092752]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 52, 85288), 'Duration (s)', 0.000997]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 52, 102249), 'Duration (s)', 0.083771]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 52, 186020), 'Duration (s)', 0.000995]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 52, 198983), 'Duration (s)', 0.076793]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 52, 275776), 'Duration (s)', 0.000999]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 52, 293735), 'Duration (s)', 0.083771]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 52, 377506), 'Duration (s)', 0.000998]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 52, 396460), 'Duration (s)', 0.072801]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 52, 469261), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 52, 479232), 'Duration (s)', 0.103516]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 52, 582748), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 52, 592721), 'Duration (s)', 0.102518]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 52, 695239), 'Duration (s)', 0.001005]
['Search Time', datetime.datetime(2024, 8, 5, 10, 12, 52, 707205), 'Duration (s)', 0.06682]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 12, 52, 774025), 'Duration (s)', 0.000998]
