['Starting Time', datetime.datetime(2024, 8, 5, 10, 15, 46, 643860), 'Duration (s)', 2.980866]
['No calibration pictures taken']
['Read Cam Calib Time', datetime.datetime(2024, 8, 5, 10, 15, 49, 624726), 'Duration (s)', 0.0]
['Read Stereo Calib Time', datetime.datetime(2024, 8, 5, 10, 15, 49, 624726), 'Duration (s)', 0.0]
['Aruco Ref Calculation Time', datetime.datetime(2024, 8, 5, 10, 15, 49, 624726), 'Duration (s)', 1.175643]
['Search Time', datetime.datetime(2024, 8, 5, 10, 16, 36, 866611), 'Duration (s)', 0.249969]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 16, 37, 116580), 'Duration (s)', 0.453448]
['Search Time', datetime.datetime(2024, 8, 5, 10, 16, 37, 773107), 'Duration (s)', 0.0]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 16, 37, 773107), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 16, 37, 788760), 'Duration (s)', 0.015587]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 16, 37, 804347), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 16, 37, 819971), 'Duration (s)', 0.09376]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 16, 37, 913731), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 16, 37, 929494), 'Duration (s)', 0.077933]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 16, 38, 7427), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 16, 38, 23225), 'Duration (s)', 0.093585]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 16, 38, 116810), 'Duration (s)', 0.0]
['Search Time', datetime.datetime(2024, 8, 5, 10, 16, 38, 132396), 'Duration (s)', 0.062485]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 10, 16, 38, 194881), 'Duration (s)', 0.0]
