['Starting Time', datetime.datetime(2024, 8, 5, 11, 19, 51, 389127), 'Duration (s)', 2.763385]
['No calibration pictures taken']
['Read Cam Calib Time', datetime.datetime(2024, 8, 5, 11, 19, 54, 152512), 'Duration (s)', 0.0]
['Read Stereo Calib Time', datetime.datetime(2024, 8, 5, 11, 19, 54, 152512), 'Duration (s)', 0.000998]
['Aruco Ref Calculation Time', datetime.datetime(2024, 8, 5, 11, 19, 54, 153510), 'Duration (s)', 0.029947]
['Search Time', datetime.datetime(2024, 8, 5, 11, 20, 5, 771210), 'Duration (s)', 0.021287]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 20, 5, 792497), 'Duration (s)', 0.174842]
['Search Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 5297), 'Duration (s)', 0.017398]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 22695), 'Duration (s)', 0.052719]
['Search Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 82950), 'Duration (s)', 0.041149]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 124099), 'Duration (s)', 0.055751]
['Search Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 199525), 'Duration (s)', 0.014683]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 214208), 'Duration (s)', 0.058459]
['Search Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 291096), 'Duration (s)', 0.0275]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 318596), 'Duration (s)', 0.051513]
['Search Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 379927), 'Duration (s)', 0.027322]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 407249), 'Duration (s)', 0.057886]
['Search Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 478600), 'Duration (s)', 0.042075]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 520675), 'Duration (s)', 0.053938]
['Search Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 587836), 'Duration (s)', 0.019891]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 607727), 'Duration (s)', 0.062736]
['Search Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 689305), 'Duration (s)', 0.027821]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 717126), 'Duration (s)', 0.066974]
['Search Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 802983), 'Duration (s)', 0.013037]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 816020), 'Duration (s)', 0.038858]
['Search Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 881713), 'Duration (s)', 0.047262]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 20, 6, 928975), 'Duration (s)', 0.060338]
['Search Time', datetime.datetime(2024, 8, 5, 11, 20, 7, 3706), 'Duration (s)', 0.021891]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 20, 7, 25597), 'Duration (s)', 0.037667]
['Search Time', datetime.datetime(2024, 8, 5, 11, 20, 7, 82633), 'Duration (s)', 0.026308]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 20, 7, 108941), 'Duration (s)', 0.062774]
['Search Time', datetime.datetime(2024, 8, 5, 11, 20, 7, 186774), 'Duration (s)', 0.028575]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 20, 7, 215349), 'Duration (s)', 0.053418]
